iteration,mechanism,missing_rate,method,outcome,bias,mse,covered,n_effective
55,MCAR,0.1,Complete Case,1,-0.05624322447734001,0.0031633002996084582,1,24
56,MCAR,0.1,Complete Case,0,-0.09727339213656971,0.009462112817754862,1,24
56,MCAR,0.1,Complete Case,1,-0.07839929252257932,0.006146449068040962,1,24
57,MCAR,0.1,Complete Case,0,-0.10256569652382319,0.010519722103416996,1,24
57,MCAR,0.1,Complete Case,1,-0.0791270183609109,0.006261085034687932,1,24
58,MCAR,0.1,Complete Case,0,0.013634011845506389,0.00018588627900340853,1,24
58,MCAR,0.1,Complete Case,1,-0.10273274995766185,0.010554017913863472,1,24
59,MCAR,0.1,Complete Case,0,0.10330164627912286,0.010671230123977018,1,24
59,MCAR,0.1,Complete Case,1,0.17131114276302462,0.029347507634773402,1,24
60,MCAR,0.1,Complete Case,0,0.22878817695558729,0.05234402991466112,0,24
60,MCAR,0.1,Complete Case,1,0.18808824789930279,0.03537718899782958,0,24
61,MCAR,0.1,Complete Case,0,-0.00030767665546443945,9.466492431778339e-08,1,24
61,MCAR,0.1,Complete Case,1,0.10064591636738729,0.010129600481431116,1,24
62,MCAR,0.1,Complete Case,0,0.14470214158625716,0.020938709779649213,1,24
62,MCAR,0.1,Complete Case,1,0.027899876159100112,0.0007784030896931228,1,24
63,MCAR,0.1,Complete Case,0,0.04115223728035966,0.0016935066331790235,1,24
63,MCAR,0.1,Complete Case,1,0.027322385159283202,0.000746512730792219,1,24
64,MCAR,0.1,Complete Case,0,0.07670127100722768,0.005883084974124185,1,24
64,MCAR,0.1,Complete Case,1,-0.00554968952745416,3.079905385113438e-05,1,24
65,MCAR,0.1,Complete Case,0,0.06833885535250006,0.004670199150889926,1,24
65,MCAR,0.1,Complete Case,1,-0.008478896271936265,7.18916819902547e-05,1,24
66,MCAR,0.1,Complete Case,0,-0.03113599614710827,0.000969450256072741,1,24
66,MCAR,0.1,Complete Case,1,-0.08588117822589236,0.007375576773467489,1,24
67,MCAR,0.1,Complete Case,0,0.11646993548561557,0.013565245872023454,1,24
67,MCAR,0.1,Complete Case,1,0.2880177334758394,0.08295421479655968,0,24
68,MCAR,0.1,Complete Case,0,0.022753935344238196,0.0005177415736497722,1,24
68,MCAR,0.1,Complete Case,1,-0.005935080724713826,3.522518320886959e-05,1,24
69,MCAR,0.1,Complete Case,0,-0.027516891598976023,0.0007571793232697973,1,24
69,MCAR,0.1,Complete Case,1,-0.04056396890585506,0.0016454355733951764,1,24
70,MCAR,0.1,Complete Case,0,-0.1078565056534696,0.01163302581177692,1,24
70,MCAR,0.1,Complete Case,1,-0.03446801573578129,0.0011880441087620665,1,24
71,MCAR,0.1,Complete Case,0,-0.024897570864086893,0.0006198890349322285,1,25
71,MCAR,0.1,Complete Case,1,0.056554979543970874,0.003198465711218964,1,25
72,MCAR,0.1,Complete Case,0,0.15408808373718574,0.023743137549797965,1,24
72,MCAR,0.1,Complete Case,1,0.10855401302246082,0.011783973743280593,1,24
73,MCAR,0.1,Complete Case,0,0.06541247875164691,0.004278792376434658,1,25
73,MCAR,0.1,Complete Case,1,-0.020656366284544037,0.0004266854680812476,1,25
74,MCAR,0.1,Complete Case,0,0.04636596774956381,0.002149802965353591,1,24
74,MCAR,0.1,Complete Case,1,0.007280337655173885,5.300331637334279e-05,1,24
75,MCAR,0.1,Complete Case,0,0.06638267917647478,0.004406660094646778,1,25
75,MCAR,0.1,Complete Case,1,0.04407368516119908,0.0019424897236885003,1,25
76,MCAR,0.1,Complete Case,0,0.016046816276242493,0.000257500312603481,1,24
76,MCAR,0.1,Complete Case,1,-0.15774809657338415,0.024884461972525734,1,24
77,MCAR,0.1,Complete Case,0,-0.017149923497114306,0.00029411987595687336,1,25
77,MCAR,0.1,Complete Case,1,0.0038831959789150106,1.5079211010661707e-05,1,25
78,MCAR,0.1,Complete Case,0,-0.08376923801530495,0.007017285237664811,1,24
78,MCAR,0.1,Complete Case,1,-0.041624754851236956,0.0017326202164255745,1,24
79,MCAR,0.1,Complete Case,0,0.11612263289668312,0.013484465870857833,1,24
79,MCAR,0.1,Complete Case,1,0.18602494062208197,0.03460527853344912,0,24
80,MCAR,0.1,Complete Case,0,0.1055276857384192,0.011136092457306563,1,24
80,MCAR,0.1,Complete Case,1,0.17291232567226805,0.02989867236939249,1,24
81,MCAR,0.1,Complete Case,0,0.002728734589603099,7.445992460496393e-06,1,24
81,MCAR,0.1,Complete Case,1,0.006219938446351769,3.868763427640486e-05,1,24
82,MCAR,0.1,Complete Case,0,-0.029353670171443913,0.0008616379525339162,1,24
82,MCAR,0.1,Complete Case,1,0.18347397424173062,0.03366269922405523,0,24
83,MCAR,0.1,Complete Case,0,0.22810043809027503,0.05202980985697539,0,24
83,MCAR,0.1,Complete Case,1,0.2123112751113138,0.04507607753939198,0,24
84,MCAR,0.1,Complete Case,0,-0.1063653044797278,0.011313577997065205,1,24
84,MCAR,0.1,Complete Case,1,0.03401508767115646,0.0011570261892764604,1,24
85,MCAR,0.1,Complete Case,0,-0.23145405509363148,0.0535709796192858,0,24
85,MCAR,0.1,Complete Case,1,-0.09461893405211402,0.008952742681158303,1,24
86,MCAR,0.1,Complete Case,0,0.0851630181552182,0.007252739661306026,1,24
86,MCAR,0.1,Complete Case,1,-0.057540331655303256,0.003310889767002294,1,24
87,MCAR,0.1,Complete Case,0,0.018992142112247423,0.000360701462011802,1,24
87,MCAR,0.1,Complete Case,1,0.02357908297878103,0.0005559731541202413,1,24
88,MCAR,0.1,Complete Case,0,0.1150769741335037,0.01324270997572308,1,25
88,MCAR,0.1,Complete Case,1,0.09396424479734539,0.00882927930033545,1,25
89,MCAR,0.1,Complete Case,0,0.02115955365539468,0.0004477267108955264,1,24
89,MCAR,0.1,Complete Case,1,-0.08173698962279907,0.006680935472597563,1,24
90,MCAR,0.1,Complete Case,0,-0.18383403868374482,0.03379495377877659,1,24
90,MCAR,0.1,Complete Case,1,0.07945501517589237,0.006313099436601287,1,24
91,MCAR,0.1,Complete Case,0,-0.005861620520292654,3.4358595123915926e-05,1,25
91,MCAR,0.1,Complete Case,1,-0.12756609529652446,0.01627310866920196,1,25
92,MCAR,0.1,Complete Case,0,-0.04077802359876148,0.0016628472086211482,1,25
92,MCAR,0.1,Complete Case,1,-0.023831262811175313,0.0005679290871753074,1,25
93,MCAR,0.1,Complete Case,0,-0.13212040946019665,0.01745580259593002,1,24
93,MCAR,0.1,Complete Case,1,-0.02102432481239963,0.0004420222338172828,1,24
94,MCAR,0.1,Complete Case,0,0.08432280873573006,0.007110336073082513,1,25
94,MCAR,0.1,Complete Case,1,-0.04740045767929868,0.002246803388206985,1,25
95,MCAR,0.1,Complete Case,0,0.0024335676629868574,5.922251570335315e-06,1,24
95,MCAR,0.1,Complete Case,1,-0.1277257470456835,0.01631386645837793,1,24
96,MCAR,0.1,Complete Case,0,-0.08731031710252013,0.007623091472542619,1,25
96,MCAR,0.1,Complete Case,1,-0.03164961970177266,0.001001698427266836,1,25
97,MCAR,0.1,Complete Case,0,0.21736664790033322,0.047248259619427434,0,25
97,MCAR,0.1,Complete Case,1,0.12005144165028137,0.014412348642310911,1,25
98,MCAR,0.1,Complete Case,0,0.10665224518000505,0.011374701401935909,1,24
98,MCAR,0.1,Complete Case,1,-0.0922587286645565,0.00851167301480026,1,24
99,MCAR,0.1,Complete Case,0,-0.06367721413126887,0.004054787599519468,1,25
99,MCAR,0.1,Complete Case,1,-0.025526550904237166,0.0006516048010666113,1,25
0,MCAR,0.3,Complete Case,0,-0.0003154327922498812,9.94978464265567e-08,1,14
0,MCAR,0.3,Complete Case,1,0.15347535326980022,0.023554684061289976,1,14
1,MCAR,0.3,Complete Case,0,0.08243246913515279,0.006795111967717917,1,13
1,MCAR,0.3,Complete Case,1,-0.2752294404130788,0.07575124487009649,1,13
2,MCAR,0.3,Complete Case,0,-0.03285414124604924,0.0010793945970153538,1,16
2,MCAR,0.3,Complete Case,1,-0.03964966929220143,0.0015720962749809408,1,16
3,MCAR,0.3,Complete Case,0,0.17685194762240808,0.03127661137783897,1,16
3,MCAR,0.3,Complete Case,1,0.08675074672110428,0.007525692056669185,1,16
4,MCAR,0.3,Complete Case,0,-0.08637813479310674,0.007461182170336118,1,14
4,MCAR,0.3,Complete Case,1,-0.1351541585463647,0.018266646572375887,1,14
5,MCAR,0.3,Complete Case,0,0.17135518971336894,0.02936260104170466,1,15
5,MCAR,0.3,Complete Case,1,-0.009373901858265365,8.787003604839087e-05,1,15
6,MCAR,0.3,Complete Case,0,-0.1694100012880948,0.02869974853643228,1,16
6,MCAR,0.3,Complete Case,1,-0.07410180238859382,0.005491077117238208,1,16
7,MCAR,0.3,Complete Case,0,0.3053939376408814,0.09326545714780256,1,14
7,MCAR,0.3,Complete Case,1,0.14946020156773243,0.022338351852667207,1,14
8,MCAR,0.3,Complete Case,0,0.15111271683206018,0.022835053188366403,1,15
8,MCAR,0.3,Complete Case,1,-0.06855425301837753,0.004699685606907725,1,15
9,MCAR,0.3,Complete Case,0,0.2579664285819885,0.06654667827534616,0,15
9,MCAR,0.3,Complete Case,1,0.2030485106983531,0.04122869769681922,0,15
10,MCAR,0.3,Complete Case,0,0.03864631552546449,0.0014935377036937579,1,14
10,MCAR,0.3,Complete Case,1,0.0175288703860641,0.00030726129701143495,1,14
11,MCAR,0.3,Complete Case,0,0.004958158578162508,2.4583336486206464e-05,1,15
11,MCAR,0.3,Complete Case,1,-0.1467634643162743,0.021539514458114317,1,15
12,MCAR,0.3,Complete Case,0,0.13016920360076534,0.0169440215660575,1,15
12,MCAR,0.3,Complete Case,1,0.061985446602712546,0.003842195590537728,1,15
13,MCAR,0.3,Complete Case,0,0.003557382741358417,1.2654971968514725e-05,1,13
13,MCAR,0.3,Complete Case,1,0.012345008519182077,0.00015239923533867805,1,13
14,MCAR,0.3,Complete Case,0,-0.08329618213415274,0.006938253958125946,1,12
14,MCAR,0.3,Complete Case,1,-0.0701890150566235,0.004926497834618921,1,12
15,MCAR,0.3,Complete Case,0,-0.01843074093910274,0.00033969221156431777,1,15
15,MCAR,0.3,Complete Case,1,-0.0804524967809363,0.006472604238286566,1,15
16,MCAR,0.3,Complete Case,0,-0.041091262124470784,0.0016884918229819672,1,16
16,MCAR,0.3,Complete Case,1,-0.06994056804258614,0.004891683058119621,1,16
17,MCAR,0.3,Complete Case,0,0.07532886318119825,0.005674437628171685,1,13
17,MCAR,0.3,Complete Case,1,0.12270680016945479,0.01505695880782651,1,13
18,MCAR,0.3,Complete Case,0,-0.016420383554705875,0.0002696289960836552,1,17
18,MCAR,0.3,Complete Case,1,0.05997296331282459,0.003596756328521404,1,17
19,MCAR,0.3,Complete Case,0,-0.13504490144645404,0.018237125406682483,1,15
19,MCAR,0.3,Complete Case,1,0.040606880118731314,0.0016489187129770165,1,15
20,MCAR,0.3,Complete Case,0,0.06602743627254481,0.004359622340724967,1,16
20,MCAR,0.3,Complete Case,1,-0.21374457011657083,0.04568674125431767,1,16
21,MCAR,0.3,Complete Case,0,0.04043048230920998,0.0016346238997553412,1,14
21,MCAR,0.3,Complete Case,1,-0.07154669338689032,0.005118929334597695,1,14
22,MCAR,0.3,Complete Case,0,0.2656813332856043,0.07058657085641634,0,14
22,MCAR,0.3,Complete Case,1,0.028652991937264338,0.0008209939469569352,1,14
23,MCAR,0.3,Complete Case,0,-0.19090939250973277,0.03644639614843521,1,15
23,MCAR,0.3,Complete Case,1,-0.23510668017433217,0.055275151062595715,1,15
24,MCAR,0.3,Complete Case,0,-0.02460504293316146,0.0006054081377427186,1,16
24,MCAR,0.3,Complete Case,1,-0.05782044213716023,0.003343203528936694,1,16
25,MCAR,0.3,Complete Case,0,-0.10061852350906259,0.01012408727314378,1,14
